bloque;period;camera;charact_SBOF;ID original;lat;lon;fecha act;hora act;fecha desact;hora desact;fecha desact real;hora desact real;dias de trabajo;ele;nombre del lugar;habitat;NDVI.bloque;Ndvi.celda;si se quema;quema.celda;Si se caza aqui;caza.celda;caza.celda2;caza.bloque;conuco.dist.m;ln.conuco.dis;buf.fragmen;ln.buf.frag;dist.comun
B05;P3;LEE01;sF;Lee01-2n;5,5009;-61,0827;2016-02-02;10:17:00;2016-04-03;14:46;2016-04-03;14:46:00;61;1117,760864;San Jose de Monorepa;sabana/bosque;0,670088;0,641;si;1;si;1;1;7;38,1;3,6;45;3,80666249;0,053023312
B05;P2;LEE01;sf;Lee01-n;5,4940;-61,0911;2015-12-04;10:27:00;2016-02-01;11:16;2016-02-01;11:16:00;59;846,433716;San Jose de Wuarpa;bosque primario;0,670088;0,492;no;0;antes;2;0;7;59,5;4,1;50;3,912023005;0,061318522
B05;P1;LEE03;b0;Lee03;5,488863979;-61,09472;2015-10-02;15:45:00;2015-12-03;10:35;2015-12-03;10:35:00;62;901;quebrada Wuarpa;bosque;0,670088;0,686;no;0;antes;2;0;7;714,5;6,6;44;3,784189634;0,065357981
B05;P2;LEE03;b0;Lee03-n;5,4888;-61,0947;2015-12-04;9:20:00;2016-02-01;11:43;2016-02-01;11:43:00;59;839,258423;San Jose de Wuarpa;bosque primario;0,670088;0,686;no;0;antes;2;0;7;713,7;6,6;44;3,784189634;0,065400296
B05;P3;LEE03;B0;Lee03-q2;5,4620;-61,0730;2016-02-01;15:39:00;2016-04-03;12:20;2016-02-22;15:42:09;21;862,249268;San Jose de Monorepa;bosque;0,670088;0,856;no;0;antes;2;0;7;1312,0;7,2;73;4,290459441;0,091576429
B05;P1;LEE04;bf;Lee04;5,480016042;-61,08581297;2015-10-01;17:50:00;2015-12-03;15:00;2015-12-03;15:00:00;63;909;rio Wuarupa;bosque;0,670088;0,526;no;0;si;1;1;7;1329,6;7,2;38;3,63758616;0,074106597
B06;P3;IS03;S0;Is03-2n;5,5097;-61,1443;2016-02-05;16:33:00;2016-03-31;15:30;2016-02-15;11:16:58;10;921,592468;Wuarapata;sabana;0,539494;0,369;si;1;no;0;0;7;1380,0;7,2;28;3,33220451;0,011819002
B06;P1;IS10;BF;Is10;5,49223803;-61,15459001;2015-09-29;16:30:00;2016-03-30;09:10;2016-03-30;9:10:00;61;1015;quebrada Maura;bosque;0,539494;0,818;no;0;si;1;1;7;925,6;6,8;70;4,248495242;0,019564237
B06;P2;IS10;BF;Is10;5,49223803;-61,15459001;2015-09-29;16:30:00;2016-03-30;09:10;2016-03-30;9:10:00;61;1015;quebrada Maura;bosque;0,539494;0,818;no;0;si;1;1;7;925,6;6,8;70;4,248495242;0,019564237
B06;P3;IS10;BF;Is10;5,49223803;-61,15459001;2015-09-29;16:30:00;2016-03-30;09:10;2016-03-30;9:10:00;61;1015;quebrada Maura;bosque;0,539494;0,818;no;0;si;1;1;7;925,6;6,8;70;4,248495242;0,019564237
B06;P1;IS11;s0;Is11;5,518101985;-61,18875498;2015-09-30;12:00:00;2015-12-02;12:16;2015-12-02;12:16:00;63;1134;conuco Feliciano;borde bosque sabana;0,539494;0,616;no;0;si;1;1;7;166,3;5,1;17;2,833213344;0,033425067
B06;P3;IS11;S0;Is11-2n;5,5238;-61,1584;2016-02-07;17:10:00;2016-04-01;17:31;2016-04-01;17:31:00;54;918,06543;Wuarapata;sabana;0,539494;0,464;si;1;no;0;0;7;2717,0;7,9;11;2,397895273;0,012261698
