number,TI,authors,total citations,objective_principal,second_objective,third_objective,fourth_objective,extra_objective,multiobj,animal,kingdoms,carnivore,ungulate,primate,multispecies,technic,equipment,country,continent,source_title,publication_date,publication_year,volume,issue,total citations,doi
847,ESTIMATING THE DENSITY OF A JAGUAR POPULATION IN THE BRAZILIAN PANTANAL USING CAMERA-TRAPS AND CAPTURE-RECAPTURE SAMPLING IN COMBINATION WITH GPS RADIO-TELEMETRY,Soisalo Marianne K.; Cavalcanti Sandra M. C.,150,density,,,,,,panthera onca,mammals,carnivore,,,,c-r,ct and radiotelemtry,Brazil,South America,BIOLOGICAL CONSERVATION,MAY 2006,2006,129,4,150,10.1016/j.biocon.2005.11.023
848,COMPARING THE EFFECTS OF LANDSCAPE FRAGMENTATION BY FORESTRY AND AGRICULTURE ON PREDATION OF ARTIFICIAL NESTS,Bayne EM; Hobson KA,149,nest_predation,fragmentation,,,,MultiObj,birds,birds,,,,,,remote camera and live trapping and surveys,Canada,North America,CONSERVATION BIOLOGY,DEC 1997,1997,11,6,149,10.1046/j.1523-1739.1997.96135.x
849,AN EVALUATION OF CAMERA TRAPS FOR INVENTORYING LARGE- AND MEDIUM-SIZED TERRESTRIAL RAINFOREST MAMMALS,Tobler M. W.; Carrillo-Percastegui S. E.; Pitman R. Leite; Mares R.; Powell G.,132,presence,absebce and richness,,,,MultiObj,mammals,mammals,,,,,jackknife estimators,ct,Peru,South America,ANIMAL CONSERVATION,JUN 2008,2008,11,3,132,10.1111/j.1469-1795.2008.00169.x
850,ESTIMATION OF OCELOT DENSITY IN THE PANTANAL USING CAPTURE-RECAPTURE ANALYSIS OF CAMERA-TRAPPING DATA,Trolle M; Kery M,132,density,,,,,,ocelot,mammals,carnivore,,,,c-r,ct,Brazil,South America,JOURNAL OF MAMMALOGY,MAY 2003,2003,84,2,132,10.1644/1545-1542(2003)084<0607:EOODIT>2.0.CO;2
851,ASSESSING TIGER POPULATION DYNAMICS USING PHOTOGRAPHIC CAPTURE-RECAPTURE SAMPLING,Karanth K. Ullas; Nichols James D.; Kumar N. Samba; Hines James E.,128,density,abundance,,,,MultiObj,tiger,mammals,carnivore,,,,c-r,ct,India,Asia,ECOLOGY,NOV 2006,2006,87,11,128,10.1890/0012-9658(2006)87[2925:ATPDUP]2.0.CO;2
852,DEFORESTATION TRENDS IN A TROPICAL LANDSCAPE AND IMPLICATIONS FOR ENDANGERED LARGE MAMMALS,Kinnaird MF; Sanderson EW; O'Brien TG; Wibisono HT; Woolmer G,123,distribution,relative abundance deforestation,,,,MultiObj,mammals,mammals,,,,,,ct,Sumatra,Asia,CONSERVATION BIOLOGY,FEB 2003,2003,17,1,123,10.1046/j.1523-1739.2003.02040.x
853,CONSERVATION STATUS OF TIGERS IN A PRIMARY RAINFOREST OF PENINSULAR MALAYSIA,Kawanishi K; Sunquist ME,117,density,,,,,,tiger,mammals,carnivore,,,,,ct,Malaysia,Asia,BIOLOGICAL CONSERVATION,DEC 2004,2004,120,3,117,10.1016/j.biocon.2004.03.005
854,ESTIMATING ANIMAL DENSITY USING CAMERA TRAPS WITHOUT THE NEED FOR INDIVIDUAL RECOGNITION,Rowcliffe J. Marcus; Field Juliet; Turvey Samuel T.; Carbone Chris,113,density,,,,,,mammals,mammals,,,,,no c-r,ct,England,Europe,JOURNAL OF APPLIED ECOLOGY,AUG 2008,2008,45,4,113,10.1111/j.1365-2664.2008.01473.x
855,DENSITY HABITAT USE AND ACTIVITY PATTERNS OF OCELOTS (LEOPARDUS PARDALIS) IN THE ATLANTIC FOREST OF MISIONES ARGENTINA,Di Bitetti M. S.; Paviolo A.; De Angelo C.,100,density,habitat use and activity patterns,,,,MultiObj,ocelots,mammals,carnivore,,,,,ct,Argentina,South America,JOURNAL OF ZOOLOGY,SEP 2006,2006,270,1,100,10.1111/j.1469-7998.2006.00102.x
856,ASSESSING THE VIABILITY OF TIGER SUBPOPULATIONS IN A FRAGMENTED LANDSCAPE,Linkie M; Chapron G; Martyr DJ; Holden J; Leader-Williams N,97,presence,,,,,,tiger,mammals,carnivore,,,,PVA,ct,Sumatra,Asia,JOURNAL OF APPLIED ECOLOGY,JUN 2006,2006,43,3,97,10.1111/j.1365-2664.2006.01153.x
857,A COMPARISON OF NONINVASIVE TECHNIQUES TO SURVEY CARNIVORE COMMUNITIES IN NORTHEASTERN NORTH AMERICA,Gompper Matthew E.; Kays Roland W.; Ray Justina C.; Lapoint Scott D.; Bogan Daniel A.; Cryan Jason R.,92,presence,,,,,,mammals,mammals,,,,,,ct scat snow tracks artificial surface,USA,North America,WILDLIFE SOCIETY BULLETIN,NOV 2006,2006,34,4,92,10.2193/0091-7648(2006)34[1142:ACONTT]2.0.CO;2
858,ONE THOUSAND JAGUARS (PANTHERA ONCA) IN BOLIVIA'S CHACO? CAMERA TRAPPING IN THE KAA-IYA NATIONAL PARK,Maffei L; Cuellar E; Noss A,92,presence,abundance,,,,MultiObj,jaguar,mammals,carnivore,,,,c-r,ct,Bolivia,South America,JOURNAL OF ZOOLOGY,MAR 2004,2004,262,,92,10.1017/S0952836903004655
859,ESTIMATING SITE OCCUPANCY AND DETECTION PROBABILITY PARAMETERS FOR MESO- AND LARGE MAMMALS IN A COASTAL ECOSYSTEM,O'Connell Allan F. Jr.; Talancy Neil W.; Bailey Larissa L.; Sauer John R.; Cook Robert; Gilbert Andrew T.,80,presence,,,,,,mammals,mammals,,,,,,ct cubby box hairy traps,USA,North America,JOURNAL OF WILDLIFE MANAGEMENT,DEC 2006,2006,70,6,80,10.2193/0022-541X(2006)70[1625:ESOADP]2.0.CO;2
860,ESTIMATING PUMA DENSITIES FROM CAMERA TRAPPING ACROSS THREE STUDY SITES: BOLIVIA ARGENTINA AND BELIZE,Kelly Marcella J.; Noss Andrew J.; Di Bitetti Mario S.; Maffei Leonardo; Arispe Rosario L.; Paviolo Agustin; De Angelo Carlos D.; Di Blanco Yamil E.,79,density,,,,,,puma,mammals,carnivore,,,,,ct,Bolivia Argentina and Belize,South America,JOURNAL OF MAMMALOGY,APR 2008,2008,89,2,79,10.1644/06-MAMM-A-424R.1
861,ESTIMATING SNOW LEOPARD POPULATION ABUNDANCE USING PHOTOGRAPHY AND CAPTURE-RECAPTURE TECHNIQUES,Jackson Rodney M.; Roe Jerry D.; Wangchuk Rinchen; Hunter Don O.,76,abundance,,,,,,snow leopard,mammals,carnivore,,,,c-r,ct,India,Asia,WILDLIFE SOCIETY BULLETIN,OCT 2006,2006,34,3,76,10.2193/0091-7648(2006)34[772:ESLPAU]2.0.CO;2
862,EFFECTS OF TRAPPING EFFORT AND TRAP SHYNESS ON ESTIMATES OF TIGER ABUNDANCE FROM CAMERA TRAP STUDIES,Wegge P; Pokheral CP; Jnawali SR,75,abundance,,,,,,tiger,mammals,carnivore,,,,c-r,ct,Nepal,Asia,ANIMAL CONSERVATION,AUG 2004,2004,7,,75,10.1017/S1367943004001441
863,NICHE SEPARATION BETWEEN THE MANED WOLF (CHRYSOCYON BRACHYURUS) THE CRAB-EATING FOX (DUSICYON THOUS) AND THE HOARY FOX (DUSICYON VETULUS) IN CENTRAL BRAZIL,Jacomo ATDA; Silveira L; Diniz JAF,75,presence,niche,,,,MultiObj,mammals,mammals,,,,,,ct,Brazil,South America,JOURNAL OF ZOOLOGY,JAN 2004,2004,262,,75,
864,SURVEYING CARNIVORES AT LARGE SPATIAL SCALES: A COMPARISON OF FOUR BROAD-APPLIED METHODS,Barea-Azcon Jose Miguel; Virgos Emilio; Ballesteros-Duperon Elena; Moleon Marcos; Chirosa Manuel,70,presence,richness,,,,MultiObj,carnivores,mammals,carnivore,,,,,ct scat detection scent station live trapping,Mediterranian Europe,Europe,BIODIVERSITY AND CONSERVATION,APR 2007,2007,16,4,70,10.1007/s10531-006-9114-x
865,EFFECTS OF HUMAN-CARNIVORE CONFLICT ON TIGER (PANTHERA TIGRIS) AND PREY POPULATIONS IN LAO PDR,Johnson A.; Vongkhamheng C.; Hedemark M.; Saithongdam T.,67,presence,abundace,,,,MultiObj,tiger,mammals,carnivore,,,,,ct,Laos,Asia,ANIMAL CONSERVATION,NOV 2006,2006,9,4,67,10.1111/j.1469-1795.2006.00049.x
866,ESTIMATION OF TIGER DENSITIES IN THE TROPICAL DRY FORESTS OF PANNA CENTRAL INDIA USING PHOTOGRAPHIC CAPTURE-RECAPTURE SAMPLING,Karanth KU; Chundawat RS; Nichol JD; Kumar NS,67,density,,,,,,tiger,mammals,carnivore,,,,c-r,ct,India,Asia,ANIMAL CONSERVATION,AUG 2004,2004,7,,67,10.1017/S1367943004001477
867,SURVEYS USING CAMERA TRAPS: ARE WE LOOKING TO A BRIGHTER FUTURE?,Rowcliffe J. M.; Carbone C.,65,review,technic,,,,MultiObj,,,,,,,,,,,ANIMAL CONSERVATION,JUN 2008,2008,11,3,65,10.1111/j.1469-1795.2008.00180.x
868,THE IMPACT ON TIGERS OF POACHING VERSUS PREY DEPLETION,Chapron Guillaume; Miquelle Dale G.; Lambert Amaury; Goodrich John M.; Legendre Stephane; Clobert Jean,64,review,prey depletion,,,,MultiObj,carnivore and prey,mammals,carnivore,,,,,ct,Asia,Asia,JOURNAL OF APPLIED ECOLOGY,DEC 2008,2008,45,6,64,10.1111/j.1365-2664.2008.01538.x
869,ESTIMATING OCCUPANCY OF A DATA DEFICIENT MAMMALIAN SPECIES LIVING IN TROPICAL RAINFORESTS: SUN BEARS IN THE KERINCI SEBLAT REGION SUMATRA,Linkie Matthew; Dinata Yban; Nugroho Agung; Haidir Iding Achmad,62,presence,occupancy,,,,MultiObj,mammals,mammals,,,,,occupancy,ct,Sumatra,Asia,BIOLOGICAL CONSERVATION,JUN 2007,2007,137,1,62,10.1016/j.biocon.2007.01.016
870,OCELOT LEOPARDUS PARDALIS IN BELIZE: THE IMPACT OF TRAP SPACING AND DISTANCE MOVED ON DENSITY ESTIMATES,Dillon Adam; Kelly Marcella J.,60,abundance,,,,,,ocelot,mammals,carnivore,,,,c-r,ct,Belize,Central America,ORYX,OCT 2007,2007,41,4,60,10.1017/S0030605307000518
871,OCELOT HOME RANGE OVERLAP AND DENSITY: COMPARING RADIO TELEMETRY WITH CAMERA TRAPPING,Dillon A.; Kelly M. J.,56,density,,,,,,ocelot,mammals,carnivore,,,,c-r,ct radio telemetry,central america,Central America,JOURNAL OF ZOOLOGY,AUG 2008,2008,275,4,56,10.1111/j.1469-7998.2008.00452.x
872,DISTURBANCE-MEDIATED MAMMAL PERSISTENCE AND ABUNDANCE-AREA RELATIONSHIPS IN AMAZONIAN FOREST FRAGMENTS,Michalski Fernanda; Peres Carlos A.,56,abundance,fragmentation,,,,MultiObj,mammals,mammals,,,,,,ct,Brazil,South America,CONSERVATION BIOLOGY,DEC 2007,2007,21,6,56,10.1111/j.1523-1739.2007.00797.x
873,CAMERA TRAPPING OF CARNIVORES: TRAP SUCCESS AMONG CAMERA TYPES AND ACROSS SPECIES AND HABITAT SELECTION BY SPECIES ON SALT POND MOUNTAIN GILES COUNTY VIRGINIA,Kelly Marcella J.; Holub Erika L.,54,review,,,,,,carnivore,mammals,carnivore,,,,,ct,USA,North America,NORTHEASTERN NATURALIST,2008,2008,15,2,54,10.1656/1092-6194(2008)15[249:CTOCTS]2.0.CO;2
874,BEHAVIORAL RESPONSES OF BATS TO OPERATING WIND TURBINES,Horn Jason W.; Arnett Edward B.; Kunz Thomas H.,52,behaviour,,,,,,bats,mammals,,,,,,termal infrared cameras,USA,North America,JOURNAL OF WILDLIFE MANAGEMENT,JAN 2008,2008,72,1,52,10.2193/2006-465
875,JAGUAR (PANTHERA ONCA) FEEDING ECOLOGY: DISTRIBUTION OF PREDATOR AND PREY THROUGH TIME AND SPACE,Weckel M.; Giuliano W.; Silver S.,50,distribution,relative abundance,,,,MultiObj,jaguar,mammals,carnivore,,,,,ct and scat,Belize,Central America,JOURNAL OF ZOOLOGY,SEP 2006,2006,270,1,50,10.1111/j.1469-7998.2006.00106.x
876,HOW SMALL IS TOO SMALL? CAMERA TRAP SURVEY AREAS AND DENSITY ESTIMATES FOR OCELOTS IN THE BOLIVIAN CHACO,Maffei Leonardo; Noss Andrew J.,48,density,,,,,,ocelots,mammals,carnivore,,,,c-r,ct and radiotracking,Bolivia,South America,BIOTROPICA,JAN 2008,2008,40,1,48,10.1111/j.1744-7429.2007.00341.x
877,EMPTY FORESTS: LARGE CARNIVORE AND PREY ABUNDANCE IN NAMDAPHA NATIONAL PARK NORTH-EAST INDIA,Datta Aparajita; Anand M. O.; Naniwadekar Rohit,45,abundance,,,,,,carnivora,mammals,carnivore,,,,,ct,India,Asia,BIOLOGICAL CONSERVATION,MAY 2008,2008,141,5,45,10.1016/j.biocon.2008.02.022
878,IS CAMERA-TRAPPING AN EFFICIENT METHOD FOR SURVEYING MAMMALS IN NEOTROPICAL FORESTS? A CASE STUDY IN SOUTH-EASTERN BRAZIL,Srbek-Araujo AC; Chiarello AG,44,presence,richness,,,,MultiObj,mammals,mammals,,,,,,ct live traped transects feaces footprints,Brazil,South America,JOURNAL OF TROPICAL ECOLOGY,JAN 2005,2005,21,,44,10.1017/S0266467404001956
879,WARINESS OF COYOTES TO CAMERA TRAPS RELATIVE TO SOCIAL STATUS AND TERRITORY BOUNDARIES,Sequin ES; Jaeger MM; Brussard PF; Barrett RH,44,behaviour,,,,,,coyote,mammals,carnivore,,,,,ct,USA,North America,CANADIAN JOURNAL OF ZOOLOGY-REVUE CANADIENNE DE ZOOLOGIE,DEC 2003,2003,81,12,44,10.1139/Z03-204
880,COMPARING METHODS FOR SAMPLING LARGE- AND MEDIUM-SIZED MAMMALS: CAMERA TRAPS AND TRACK PLOTS,Lyra-Jorge Maria Carolina; Ciocheti Giordano; Pivello Vania Regina; Meirelles Sergio Tadeu,42,richness,,,,,,mammals,mammals,,,,,Wilcoxon,ct track plots,Brazil,South America,EUROPEAN JOURNAL OF WILDLIFE RESEARCH,OCT 2008,2008,54,4,42,10.1007/s10344-008-0205-8
881,JAGUAR PANTHERA ONCA POPULATION DECLINE IN THE UPPER PARANA ATLANTIC FOREST OF ARGENTINA AND BRAZIL,Paviolo Agustin; de Angelo Carlos Daniel; Di Blanco Yamil Edgardo; Di Bitetti Mario Santiago,39,density,,,,,,jaguar,mammals,carnivore,,,,,ct,Brazil,South America,ORYX,OCT 2008,2008,42,4,39,10.1017/S0030605308000641
882,DRAMATIC DECLINE OF WILD SOUTH CHINA TIGERS PANTHERA TIGRIS AMOYENSIS: FIELD SURVEY OF PRIORITY TIGER RESERVES,Tilson R; Defu H; Muntifering J; Nyhus PJ,39,presence,,,,,,tiger,mammals,carnivore,,,,,ct,China,Asia,ORYX,JAN 2004,2004,38,1,39,10.1017/S0030605304000079
883,ESTIMATING BOBCAT ABUNDANCE USING AUTOMATICALLY TRIGGERED CAMERAS,Heilbrun Richard D.; Silvy Nova J.; Peterson Markus J.; Tewes Michael E.,38,density,,,,,,bobcats,mammals,carnivore,,,,,ct,USA,North America,WILDLIFE SOCIETY BULLETIN,2006,2006,34,1,38,10.2193/0091-7648(2006)34[69:EBAUAT]2.0.CO;2
884,INDIVIDUAL LEGACY TREES INFLUENCE VERTEBRATE WILDLIFE DIVERSITY IN COMMERCIAL FORESTS,Mazurek MJ; Zielinski WJ,38,richness,,,,,,mammals and birds bats,multitaxa,,,,,,ct and others,USA,North America,FOREST ECOLOGY AND MANAGEMENT,JUN 1 2004,2004,193,3,38,10.1016/j.foreco.2004.01.013
885,MAMMAL SURVEY IN THE SOUTHEASTERN PANTANAL BRAZIL,Trolle M,37,richness,,,,,,mammals,mammals,,,,,,ct,Brazil,South America,BIODIVERSITY AND CONSERVATION,APR 2003,2003,12,4,37,10.1023/A:1022489426920
886,BALANITES WILSONIANA: REGENERATION WITH AND WITHOUT ELEPHANTS,Babweteera Fred; Savill Peter; Brown Nick,35,seed_dispersal,,,,,,elephant,mammals,,,,,,ct,Uganda,Africa,BIOLOGICAL CONSERVATION,JAN 2007,2007,134,1,35,10.1016/j.biocon.2006.08.002
887,OCELOT (FELIS PARDALIS) POPULATION DENSITIES ACTIVITY AND RANGING BEHAVIOUR IN THE DRY FORESTS OF EASTERN BOLIVIA: DATA FROM CAMERA TRAPPING,Maffei L; Noss AJ; Cuellar E; Rumiz DI,35,density,activity and ranging behaviour,,,,MultiObj,ocelot,mammals,carnivore,,,,,ct,Bolivia,South America,JOURNAL OF TROPICAL ECOLOGY,MAY 2005,2005,21,,35,10.1017/S0266467405002397
888,DISPERSAL OF AGLAIA SPECTABILIS A LARGE-SEEDED TREE SPECIES IN A MOIST EVERGREEN FOREST IN THAILAND,Kitamura S; Suzuki S; Yumoto T; Poonswad P; Chuailua P; Plongmai K; Noma N; Maruhashi T; Suckasam C,34,seed_dispersal,,,,,,mammals and birds,multitaxa,,,,,,,Thailand,Asia,JOURNAL OF TROPICAL ECOLOGY,JUL 2004,2004,20,,34,10.1017/S0266467404001555
889,CARNIVORE MAMMALS IN A FRAGMENTED LANDSCAPE IN NORTHEAST OF SAO PAULO STATE BRAZIL,Lyra-Jorge Maria Carolina; Ciocheti Giordano; Pivello Vania Regina,33,richness,fragmentation,,,,MultiObj,carnivore,mammals,carnivore,,,,,ct,Brazil,South America,BIODIVERSITY AND CONSERVATION,JUN 2008,2008,17,7,33,10.1007/s10531-008-9366-8
890,GEOFFROY'S CATS AT THE NORTHERN LIMIT OF THEIR RANGE: ACTIVITY PATTERNS AND DENSITY ESTIMATES FROM CAMERA TRAPPING IN BOLIVIAN DRY FORESTS,Cuellar Erika; Maffei Leonardo; Arispe Rosario; Noss Andrew,33,activity_pattern,density estimates,,,,MultiObj,Geoffroy's cats,mammals,carnivore,,,,,ct,Bolivia,South America,STUDIES ON NEOTROPICAL FAUNA AND ENVIRONMENT,DEC 2006,2006,41,3,33,10.1080/01650520600840001
891,BAITING RED FOXES IN AN URBAN AREA: A CAMERA TRAP STUDY,Hegglin D; Bontadina F; Gloor S; Romer J; Muller U; Breitenmoser U; Deplazes P,33,invasion,,,,,,fox,mammals,carnivore,,,,,ct,Switzeland,Europe,JOURNAL OF WILDLIFE MANAGEMENT,OCT 2004,2004,68,4,33,10.2193/0022-541X(2004)068[1010:BRFIAU]2.0.CO;2
892,A COMPARISON OF POPULATION SURVEY TECHNIQUES FOR SWIFT FOXES (VULPES VELOX) IN NEW MEXICO,Harrison RL; Barr DJ; Dragoo JW,32,abundance,,,,,,fox,mammals,carnivore,,,,,ct and scats,USA,North America,AMERICAN MIDLAND NATURALIST,OCT 2002,2002,148,2,32,10.1674/0003-0031(2002)148[0320:ACOPST]2.0.CO;2
893,USING BAITS TO DELIVER PHARMACEUTICALS TO FERAL SWINE IN SOUTHERN TEXAS,Campbell Tyler A.; Lapidge Steven J.; Long David B.,31,invasion,,,,,,feral swine,mammals,,,,,,ct,USA,North America,WILDLIFE SOCIETY BULLETIN,NOV 2006,2006,34,4,31,10.2193/0091-7648(2006)34[1184:UBTDPT]2.0.CO;2
894,THE RESPONSE OF NATIVE AUSTRALIAN RODENTS TO PREDATOR ODOURS VARIES SEASONALLY: A BY-PRODUCT OF LIFE HISTORY VARIATION?,Hayes R. A.; Nahrung H. F.; Wilson J. C.,31,predation,,,,,,rodens mammals,mammals,,,,,,ct,Australia,Australia,ANIMAL BEHAVIOUR,JUN 2006,2006,71,,31,10.1016/j.anbehav.2005.08.017
895,SCAVENGING BEHAVIOR IN PUMA,Bauer JW; Logan KA; Sweanor LL; Boyce WM,31,scavenging,,,,,,puma,mammals,carnivore,,,,,ct and telemetry,USA,North America,SOUTHWESTERN NATURALIST,DEC 2005,2005,50,4,31,10.1894/0038-4909(2005)050[0466:SBIP]2.0.CO;2
896,POTENTIAL EFFECTS OF SUPPLEMENTAL FEEDING OF DEER ON NEST PREDATION,Cooper SM; Ginnett TF,31,nest_predation,,,,,,white tailed deer,mammals,,,,,,ct and others,USA,North America,WILDLIFE SOCIETY BULLETIN,FAL 2000,2000,28,3,31,
897,EFFECTS OF EXOTIC MONGOOSE (HERPESTES JAVANICUS) ON THE NATIVE FAUNA OF AMAMI-OSHIMA ISLAND SOUTHERN JAPAN ESTIMATED BY DISTRIBUTION PATTERNS ALONG THE HISTORICAL GRADIENT OF MONGOOSE INVASION,Watari Yuya; Takatsuki Seiki; Miyashita Tadashi,30,abundance,,,,,,mongoose,mammals,,,,,,ct and others,Japan,Asia,BIOLOGICAL INVASIONS,JAN 2008,2008,10,1,30,10.1007/s10530-007-9100-6
898,HOW MANY TIGERS PANTHERA TIGRIS ARE THERE IN HUAI KHA KHAENG WILDLIFE SANCTUARY THAILAND? AN ESTIMATE USING PHOTOGRAPHIC CAPTURE-RECAPTURE SAMPLING,Simcharoen Saksit; Pattanavibool Anak; Karanth K. Ullas; Nichols James D.; Kumar N. Samba,30,density,,,,,,tiger,mammals,carnivore,,,,c-r,ct,Thailand,Asia,ORYX,OCT 2007,2007,41,4,30,10.1017/S0030605307414107
899,THE DIVERSITY AND ACTIVITY PATTERNS OF WILD FELIDS IN A SECONDARY FOREST IN PENINSULAR MALAYSIA,Azlan JM; Sharma DSK,30,richness,activity patterns,,,,MultiObj,wild felids,mammals,carnivore,,,,,ct,Malaysia,Asia,ORYX,JAN 2006,2006,40,1,30,10.1017/S0030605306000147
900,CONSERVING TIGERS PANTHERA TIGRIS IN SELECTIVELY LOGGED SUMATRAN FORESTS,Linkie Matthew; Haidir Wing Achmad; Nugroho Agung; Dinata Yoan,28,abundance,,,,,,tigers,mammals,carnivore,,,,,ct,Sumatra,Asia,BIOLOGICAL CONSERVATION,SEP 2008,2008,141,9,28,10.1016/j.biocon.2008.07.002
901,DESIGN EVALUATE REFINE: CAMERA TRAP STUDIES FOR ELUSIVE SPECIES,Kelly M. J.,28,review,,,,,,felids,mammals,carnivore,,,,,,USA,North America,ANIMAL CONSERVATION,JUN 2008,2008,11,3,28,10.1111/j.1469-1795.2008.00179.x
902,CAMERA-TRAP STUDIES OF MANED WOLF DENSITY IN THE CERRADO AND THE PANTANAL OF BRAZIL,Trolle Mogens; Noss Andrew J.; Lima Edson De S.; Dalponte Julio C.,28,density,,,,,,maned wolf,mammals,carnivore,,,,c-r,ct and radiotelemetry,Brazil,South America,BIODIVERSITY AND CONSERVATION,APR 2007,2007,16,4,28,10.1007/s10531-006-9105-y
903,DIFFERENTIAL RESPONSES TO HUNTING IN TWO SYMPATRIC SPECIES OF BROCKET DEER (MAZAMA AMERICANA AND M-NANA),Di Bitetti Mario S.; Paviolo Agustin; Ferrari Carolina A.; De Angelo Carlos; Di Blanco Yamil,27,abundance,activity paterns and hunting,,,,MultiObj,brocket deer,mammals,carnivore,,,,,ct,Argentina,South America,BIOTROPICA,SEP 2008,2008,40,5,27,10.1111/j.1744-7429.2008.00413.x
904,A NEW SPECIES OF GIANT SENGI OR ELEPHANT-SHREW (GENUS RHYNCHOCYON) HIGHLIGHTS THE EXCEPTIONAL BIODIVERSITY OF THE UDZUNGWA MOUNTAINS OF TANZANIA,Rovero F.; Rathbun G. B.; Perkin A.; Jones T.; Ribble D. O.; Leonard C.; Mwakisoma R. R.; Doggart N.,27,presence,new species,,,,MultiObj,elephant-shrew,mammals,,,,,,ct,Tanzania,Africa,JOURNAL OF ZOOLOGY,FEB 2008,2008,274,2,27,10.1111/j.1469-7998.2007.00363.x
905,IMPORTANCE OF NATURAL LICKS FOR THE MAMMALS IN BORNEAN INLAND TROPICAL RAIN FORESTS,Matsubayashi Hisashi; Lagan Peter; Majalap Noreen; Tangah Joseph; Sukor Jum Rafiah Abd.; Kitayama Kanehiro,27,presence,natural licks,,,,MultiObj,mammals,mammals,,,,,,ct,Borneo,Asia,ECOLOGICAL RESEARCH,SEP 2007,2007,22,5,27,10.1007/s11284-006-0313-4
906,IMPACTS OF FRUIT PRODUCTION CYCLES ON MALAYAN SUN BEARS AND BEARDED PIGS IN LOWLAND TROPICAL FOREST OF SABAH MALAYSIAN BORNEO,Wong ST; Servheen C; Ambu L; Norhayati A,27,fruit_production,,,,,,bears and pig,mammals,carnivore,,,,,ct,Borneo,Asia,JOURNAL OF TROPICAL ECOLOGY,NOV 2005,2005,21,,27,10.1017/S0266467405002622
907,DRY SEASON ACTIVITY PERIODS OF SOME AMAZONIAN MAMMALS,Gomez H; Wallace RB; Ayala G; Tejada R,27,activity_pattern,,,,,,mammals,mammals,,,,,,ct,Bolivia,South America,STUDIES ON NEOTROPICAL FAUNA AND ENVIRONMENT,AUG 2005,2005,40,2,27,10.1080/01650520500129638
908,THE USE OF CAMERA-TRAP DATA TO MODEL HABITAT USE BY ANTELOPE SPECIES IN THE UDZUNGWA MOUNTAIN FORESTS TANZANIA,Bowkett Andrew E.; Rovero Francesco; Marshall Andrew R.,26,habitat_use,,,,,,antelope,mammals,,,,,,ct,Tanzania,Africa,AFRICAN JOURNAL OF ECOLOGY,DEC 2008,2008,46,4,26,10.1111/j.1365-2028.2007.00881.x
909,LOCAL AND CONTINENTAL CORRELATES OF THE ABUNDANCE OF A NEOTROPICAL CAT THE OCELOT (LEOPARDUS PARDALIS),Di Bitetti Mario S.; Paviolo Agustin; De Angelo Carlos D.; Di Blanco Yamil E.,26,abundance,,,,,,ocelote,mammals,carnivore,,,,,ct,Argentina,South America,JOURNAL OF TROPICAL ECOLOGY,MAR 2008,2008,24,,26,10.1017/S0266467408004847
910,GROVES VERSUS ISOLATES: HOW SPATIAL AGGREGATION OF ASTROCARYUM MURUMURU PALMS AFFECTS SEED REMOVAL,Beck H; Terborgh J,26,seed_dispersal,,,,,,mamiferos insects,multitaxa,,,,,,ct,Peru,South America,JOURNAL OF TROPICAL ECOLOGY,MAR 2002,2002,18,,26,10.1017/S0266467402002183
911,BRAZILIAN TAPIR DENSITY IN THE PANTANAL: A COMPARISON OF SYSTEMATIC CAMERA-TRAPPING AND LINE-TRANSECT SURVEYS,Trolle Mogens; Noss Andrew J.; Cordeiro Jose Luis Passos; Oliveira Luiz Flamarion B.,25,density,,,,,,tapir,mammals,,,,,,ct and line transect,Brazil,South America,BIOTROPICA,MAR 2008,2008,40,2,25,10.1111/j.1744-7429.2007.00350.x
912,EFFICACY OF MANUFACTURED PIGOUT (R) BAITS FOR LOCALISED CONTROL OF FERAL PIGS IN THE SEMI-ARID QUEENSLAND RANGELANDS,Cowled Brendan D.; Gifford Eddie; Smith Michelle; Staples Linton; Lapidge Steven J.,24,invasion,,,,,,feral pigs,mammals,,,,,,ct and telemetry,Australia,Australia,WILDLIFE RESEARCH,2006,2006,33,5,24,10.1071/WR05083
913,ASSESSING ESTIMATORS OF SNOW LEOPARD ABUNDANCE,McCarthy Kyle P.; Fuller Todd K.; Ming Ma; McCarthy Thomas M.; Waits Lisette; Jumabaev Kubanych,23,abundance,,,,,,snow leopard,mammals,carnivore,,,,cr,ct,China,Asia,JOURNAL OF WILDLIFE MANAGEMENT,NOV 2008,2008,72,8,23,10.2193/2008-040
914,ESTIMATING WILD BOAR (SUS SCROFA) ABUNDANCE AND DENSITY USING CAPTURE-RESIGHTS IN CANTON OF GENEVA SWITZERLAND,Hebeisen C.; Fattebert J.; Baubet E.; Fischer C.,23,abundance,diversity,,,,MultiObj,wild board,mammals,,,,,capture-resight,ct,Switzeland,Europe,EUROPEAN JOURNAL OF WILDLIFE RESEARCH,AUG 2008,2008,54,3,23,10.1007/s10344-007-0156-5
915,HUNTING PATTERNS IN TROPICAL FORESTS ADJOINING THE HKAKABORAZI NATIONAL PARK NORTH MYANMAR,Rao MH; Myint T; Zaw T; Htun S,23,abundance,hunting,,,,MultiObj,mammals,mammals,,,,,,ct and survey,Burma,Asia,ORYX,JUL 2005,2005,39,3,23,10.1017/S0030605305000724
