number,TI,authors,total citations,objective_principal,second_objective,third_objective,fourth_objective,extra_objective,multiobj,animal,kingdoms,carnivore,ungulate,primate,multispecies,technic,equipment,country,continent,source_title,publication_date,publication_year,volume,issue,total citations,doi
50,MONITORING WILD PIG POPULATIONS: A REVIEW OF METHODS,Engeman R. M.; Massei G.; Sage M.; Gentle M. N.,14,methodology,,,,,,wild pig,mammals,carnivore,,,,,,,,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,NOV 2013,2013,20,11,,
51,WILDCAT POPULATION DENSITY ON THE ETNA VOLCANO ITALY: A COMPARISON OF DENSITY ESTIMATION METHODS,Anile S.; Ragni B.; Randi E.; Mattucci F.; Rovero F.,8,density,,,,,,wildcat,mammals,carnivore,,,,rem serc,ct scat,Italy,Europe,JOURNAL OF ZOOLOGY,AUG 2014,2014,293,4,,
52,ESTIMATING SPECIES RICHNESS AND MODELLING HABITAT PREFERENCES OF TROPICAL FOREST MAMMALS FROM CAMERA TRAP DATA,Rovero Francesco; Martin Emanuel; Rosa Melissa; Ahumada Jorge A.; Spitale Daniel,7,methodology,richness habitat preference,,,,MultiObj,,,,,,,,,Tanzania,Africa,PLOS ONE,JUL 23 2014,2014,9,7,,
53,CHANGING USE OF CAMERA TRAPS IN MAMMALIAN FIELD RESEARCH: HABITATS TAXA AND STUDY TYPES,Mccallum Jamie,12,methodology,habitats taxa and study types,,,,MultiObj,,,,,,,,,,,MAMMAL REVIEW,JUL 2013,2013,43,3,,
54,VARYINGEFFORT INCAPTURE-RECAPTURE STUDIES,Efford Murray G.; Borchers David L.; Mowat Garth,10,methodology,,,,,,,,,,,,,,,,METHODS IN ECOLOGY AND EVOLUTION,JUL 2013,2013,4,7,,
55,THE PITFALLS OF WILDLIFE CAMERA TRAPPING AS A SURVEY TOOL IN AUSTRALIA,Meek Paul D.; Ballard Guy-Anthony; Fleming Peter J. S.,5,methodology,,,,,,,,,,,,,,,,AUSTRALIAN MAMMALOGY,2015,2015,37,1,,
56,DENSITY AND HABITAT USE OF LIONS AND SPOTTED HYENAS IN NORTHERN BOTSWANA AND THE INFLUENCE OF SURVEY AND ECOLOGICAL VARIABLES ON CALL-IN SURVEY ESTIMATION,Cozzi G.; Broekhuis F.; McNutt J. W.; Schmid B.,5,density,habitat use,,,,MultiObj,hyeana,Mammals,Carnivores,,,Single,,ct,Bostwana,Africa,BIODIVERSITY AND CONSERVATION,NOV 2013,2013,22,12,,
57,MANAGING SUN BEARS IN A CHANGING TROPICAL LANDSCAPE,Wong Wai-Ming; Linkie Matthew,4,occupancy,,,,,,bear,mammals,carnivore,,,,occu,ct,Sumatra,Asia,DIVERSITY AND DISTRIBUTIONS,JUL 2013,2013,19,7,,
58,COMMUNITY-WIDE MESOCARNIVORE RESPONSE TO PARTIAL UNGULATE MIGRATION,Henden John-Andre; Stien Audun; Bardsen Bard-Jorgen; Yoccoz Nigel G.; Ims Rolf A.,4,interaction,relase mesocarnivour,,,,MultiObj,carnivores ungulate,mammals,,,,Multiple,,ct,Norway,Europe,JOURNAL OF APPLIED ECOLOGY,DEC 2014,2014,51,6,,
59,BRINGING CLARITY TO THE CLOUDED LEOPARD NEOFELIS DIARDI: FIRST DENSITY ESTIMATES FROM SUMATRA,Sollmann Rahel; Linkie Matthew; Haidir Iding A.; Macdonald David W.,4,density,,,,,,clouded leopard,mammals,carnivore,,,,scr,ct,Sumatra,Asia,ORYX,OCT 2014,2014,48,4,,
